biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid,biggest barrier working Hybrid,smallest barrier working Hybrid
Noisy work environment,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Problems with audio-visual setup,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Interruptions,Lack of privacy,Problems with audio-visual setup,Difficulty collaborating with remote colleagues
Noisy work environment,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Interruptions,Noisy work environment,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Interruptions,Noisy work environment,Problems with audio-visual setup
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noisy work environment,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Problems with audio-visual setup,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interruptions,Noisy work environment,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Lack of privacy,Lack of appropriate work and meeting spaces,Lack of privacy,Problems with audio-visual setup,Noisy work environment
Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Lack of privacy,Difficulty innovating,Interruptions,Difficulty innovating,Lack of privacy,Difficulty innovating,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Noisy work environment,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Lack of privacy,Difficulty innovating,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty innovating,Noisy work environment
Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty innovating,Interruptions,Difficulty innovating,Lack of privacy,Difficulty innovating,Noisy work environment,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Interruptions,Difficulty innovating,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty innovating,Interruptions,Difficulty innovating,Problems with audio-visual setup,Connectivity/internet issues,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Noisy work environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of privacy,Noisy work environment,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Noisy work environment,Difficulty innovating,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Difficulty innovating,Lack of privacy,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty innovating
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interruptions,Lack of privacy,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty collaborating with remote colleagues
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noisy work environment,Interruptions,Problems with audio-visual setup,Connectivity/internet issues,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Connectivity/internet issues,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Lack of privacy,Difficulty innovating,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Difficulty collaborating with remote colleagues
Difficulty collaborating with remote colleagues,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Interruptions,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Lack of privacy,Problems with audio-visual setup,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Lack of privacy,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty collaborating with remote colleagues
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty collaborating with remote colleagues,Lack of privacy,Lack of appropriate work and meeting spaces,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Lack of privacy,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of privacy,Noisy work environment,Problems with audio-visual setup
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Lack of privacy,Interruptions,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Difficulty innovating,Interruptions,Difficulty innovating,Interruptions,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Difficulty innovating,Connectivity/internet issues,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty collaborating with remote colleagues,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Interruptions,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Noisy work environment,Interruptions,Problems with audio-visual setup,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Lack of privacy,Noisy work environment,Lack of privacy,Interruptions,Problems with audio-visual setup,Noisy work environment
Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Lack of privacy,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty collaborating with remote colleagues
Difficulty collaborating with remote colleagues,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Noisy work environment,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Noisy work environment,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Problems with audio-visual setup,Lack of privacy,Difficulty innovating,Problems with audio-visual setup,Problems with audio-visual setup,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Interruptions,Problems with audio-visual setup,Difficulty collaborating with remote colleagues
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty collaborating with remote colleagues,Noisy work environment,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Lack of appropriate work and meeting spaces,Lack of privacy,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty innovating,Problems with audio-visual setup
Lack of privacy,Interruptions,Problems with audio-visual setup,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Interruptions,Interruptions,Noisy work environment,Problems with audio-visual setup,Connectivity/internet issues,Lack of privacy,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Problems with audio-visual setup,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment
Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of privacy,Noisy work environment,Difficulty innovating,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Interruptions,Noisy work environment,Difficulty innovating,Noisy work environment,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Interruptions,Lack of privacy,Noisy work environment,Difficulty innovating
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty collaborating with remote colleagues,Interruptions,Problems with audio-visual setup,Connectivity/internet issues,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Lack of privacy,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of privacy,Noisy work environment,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Lack of privacy,Connectivity/internet issues,Noisy work environment,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Interruptions,Lack of privacy,Noisy work environment,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of privacy,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of privacy,Noisy work environment,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment
Lack of privacy,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Connectivity/internet issues,Difficulty innovating,Interruptions,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Lack of privacy,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Problems with audio-visual setup
Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment
Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of privacy,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of privacy,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Noisy work environment,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Interruptions,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating,Noisy work environment,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty collaborating with remote colleagues,Interruptions,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Lack of privacy,Noisy work environment,Difficulty collaborating with remote colleagues
Interruptions,Lack of privacy,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Lack of privacy,Interruptions,Noisy work environment,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Interruptions,Difficulty innovating,Noisy work environment,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Lack of privacy,Interruptions,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment
Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of privacy,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty collaborating with remote colleagues
Lack of privacy,Interruptions,Connectivity/internet issues,Lack of privacy,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Difficulty innovating,Interruptions,Difficulty innovating,Interruptions,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Lack of privacy,Noisy work environment,Difficulty collaborating with remote colleagues,Noisy work environment,Interruptions,Lack of privacy,Difficulty innovating,Problems with audio-visual setup,Lack of privacy,Connectivity/internet issues,Interruptions,Lack of privacy,Difficulty collaborating with remote colleagues,Problems with audio-visual setup
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Lack of privacy,Interruptions,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of privacy,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Difficulty innovating,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of appropriate work and meeting spaces,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup
Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Noisy work environment,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty collaborating with remote colleagues
Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup
Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Difficulty innovating,Difficulty collaborating with remote colleagues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noisy work environment,Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noisy work environment,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty collaborating with remote colleagues
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty collaborating with remote colleagues,Problems with audio-visual setup
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interruptions,Noisy work environment,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Interruptions,Noisy work environment,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Noisy work environment,Interruptions,Difficulty innovating,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty innovating
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of privacy,Interruptions,Connectivity/internet issues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty innovating,Interruptions,Interruptions,Problems with audio-visual setup,Problems with audio-visual setup,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of privacy,Difficulty innovating,Problems with audio-visual setup,Connectivity/internet issues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty collaborating with remote colleagues
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interruptions,Noisy work environment,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Interruptions,Noisy work environment,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Problems with audio-visual setup
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interruptions,Lack of privacy,Problems with audio-visual setup,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup
