ID,Year of Birth,Age,Gender,Employment Duration,Industry,Occupation,Size of Employer Company,Size of Household,Residency Area,Time Spent Working Remotely Last Quarter of Last Year,Preferred Time Spent Working Remotely Last Quarter of Last Year,Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in Future,Employer's Policy change on Remote Work,1 day Hybrid last 6 months,Duration of Hybrid,Preferences towards Hybrid,Employer's Policy on Hybrid,Employer's Time Preference on Onsite,Attitude on Employer's Preferences,Liberty to make the Choice on Decision,Liberty to make the Choice on Days,Direct Manager's role,Attitude on Employer's Decision on Remote Work,Attitude on Employer's Encouragement,Attitude on Employer's Preparedness,Attitude of Other Employees ,Ease to get Permission on Remote Work,Ease to Collaborate with Colleagues,Effect of Promotion,Attitude on Taking Breaks,Impact on Employer,Most Supportive Person(s) on Remote Work,Expected Employer's Encouragement Post Covid,Expected Employer's Support Post Covid,Attitude on Choice on Remote Post Covid,Intended Time to Commute Onsite,Intended Time for Work Onsite,Intended Time for Chores Onsite,Intended Time for Personal Life Onsite,Intended Time for Sleep Onsite,Intended Time to Commute Remote,Intended Time for Work Remote,Intended Time for Chores Remote,Intended Time for Personal Life Remote,Intended Time for Sleep Remote,Attitude on pay cut,Agreed percentage on Pay cut,Barrier of Caring Responsibilities,Barrier of Connectivity,Barrier from Organizations Software System,Barrier on Collaboration,Barrier of poor management,Barrier of IT Equipment,Barrier of Feeling Isolated,Barrier of Extra Cost,Barrier of Cyber Security,Barrier of task cannot be done remotely,Barrier about working Space,Barrier on Motivation,Barrier on Management encouragement on Remote,Barrier of my living situation,Barrier of Remote Working Skills,Barrier of Health and Safety,Positivity on Remote Work,Activeness on Remote Work,Attitute towards Team Members,Management role of Participant,Remote Employees under Manager ,Manager's discretion towards Remote ,Opinion on Remote Employee Retention,Opinion on Remote Employee Recruitment,Opinion on Remote Team Work,Opinion on monitoring Remote Team,Opinion on Remote Poor Performers,Opinion on Preparation for Remote Employee Management,Opinion on Preparation for Focus on Work,Opinion on Finding Employees,Manager's Productivity on Remote,Employee's Productivity on Remote
1274,1971,50,Male,More than 5 years,Education and Training,Managers - Specialist Managers,More than 200,Couple with dependent children,Regional,Rarely or never,I would not have preferred to work remotely,20%,I would not have preferred to work remotely,I would prefer not to work remotely,Yes,No,,,Yes,60%,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither positive nor negative,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,1,7,2,8,6,0.5,7,2,6,8.5,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly worsened,Not a barrier for me,Somewhat worsened,Not a barrier for me,Not a barrier for me,Strongly disagree,Strongly disagree,Strongly agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% less productive when working remotely,I’m 20% less productive when working remotely
1275,1958,63,Male,Between 1 and 5 years,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",More than 200,Single person,Regional,Less than 10% of my time,I would not have preferred to work remotely,Less than 10% of my time,I would not have preferred to work remotely,I would prefer not to work remotely,No,Yes,Less than 10% of my time,Less than 10% of my time,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither positive nor negative,They are about the same,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,1,8,3,5,7,0,8,3,6,7,No,,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
1277,1959,62,Male,More than 5 years,Wholesale Trade,Sales workers - Sales Assistants and Salespersons,Between 20 and 199,Multiple family household,Regional,70%,60%,60%,80%,80%,No,Yes,40%,40%,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither positive nor negative,They are about the same,Somewhat unlikely,Very likely,Very likely,2,6,4,4,8,0,8,4,4,8,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Neither agree nor disagree,Strongly agree,Yes,No,,,,,,,,,,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
1281,1964,57,Male,Between 1 and 5 years,Public Administration and Safety,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Regional,20%,20%,20%,20%,20%,Yes,Yes,20%,20%,Yes,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1,9,1,5,8,1,10,3,5,5,Yes,0.2,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
1284,1978,43,Male,Between 1 and 5 years,Information Media and Telecommunications,Community and personal service workers - Protective Service Workers,More than 200,Couple with dependent children,Regional,20%,20%,20%,20%,20%,Yes,Yes,50% - About half of my time,50% - About half of my time,Yes,60%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Positive,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Positive,My direct manger(s),Somewhat likely,Very likely,Very likely,1,6,5,5,7,1,6,5,5,7,Yes,0.6,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
1285,1978,43,Male,Between 1 and 5 years,Information Media and Telecommunications,Community and personal service workers - Protective Service Workers,More than 200,Couple with dependent children,Regional,20%,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,Yes,Yes,50% - About half of my time,40%,Yes,50% - About half of my time,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,My direct manger(s),Very likely,Very likely,Very likely,1,6,5,5,7,1,6,5,5,7,Yes,0.6,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
1287,1959,62,Male,Between 1 and 5 years,Other Services,"Professionals - Design, Engineering, Science and Transport Professionals",Between 1 and 4,Couple with no dependent children,Regional,90%,90%,80%,80%,70%,No,No,,,Yes,10%,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Positive,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat likely,2,8,1,5,8,0,9,1,6,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
1289,1984,37,Male,Between 1 and 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with dependent children,Regional,70%,60%,70%,50% - About half of my time,50% - About half of my time,Yes,Yes,50% - About half of my time,50% - About half of my time,Yes,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly Positive,They are about the same,Very likely,Very likely,Very likely,2,6,4,4,8,4,3,4,5,8,No,,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
1291,1990,31,Female,Between 6 and 12 months,Construction,Clerical and administrative workers - Office Managers and Program Administrators,Between 20 and 199,Single person,Regional,Less than 10% of my time,Less than 10% of my time,Rarely or never,I would not have preferred to work remotely,I would prefer not to work remotely,No,Yes,Less than 10% of my time,Less than 10% of my time,Unsure,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly Negative,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly Negative,Senior leadership,Very unlikely,Very unlikely,Very unlikely,1,12,2,2,7,1,12,2,2,7,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Somewhat agree,Yes,No,,,,,,,,,,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
1297,1971,50,Female,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,More than 200,Single person,Regional,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,No,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,They are about the same,Very unlikely,Very unlikely,Very unlikely,1,10,1,5,7,0.5,8.5,1,6.5,7.5,No,,Not a barrier for me,Not a barrier for me,Somewhat improved,Somewhat improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Yes,No,,,,,,,,,,I’m 20% less productive when working remotely,I’m 20% less productive when working remotely
1299,1972,49,Female,Between 6 and 12 months,Public Administration and Safety,"Managers - Chief Executives, General Managers and Legislators",More than 200,Single person,Regional,50% - I spent about half of my time remote working,50% - About half of my time,30%,20%,20%,Yes,Yes,Less than 10% of my time,Less than 10% of my time,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat Positive,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,3,10,1,2,8,0.5,10,1.5,4,8,No,,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
1302,1980,41,Male,Between 6 and 12 months,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,One parent family with dependent children,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Yes,Yes,100% - All of my time,100% - All of my time,Yes,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,My direct manger(s),Very likely,Very likely,Very likely,5,4,5,5,5,2,5,10,5,2,Yes,0.99,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
1303,1999,22,Male,Between 6 and 12 months,Financial and Insurance,Managers - Specialist Managers,Between 5 and 19,Multiple family household,Regional,60%,50% - About half of my time,50% - I spent about half of my time remote working,80%,60%,Yes,Yes,30%,50% - About half of my time,Yes,30%,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly Positive,My direct manger(s),Somewhat likely,Somewhat likely,Somewhat likely,3,5,6,5,5,3,3,3,5,10,Yes,0.75,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Stayed about the same,Somewhat worsened,Stayed about the same,Strongly agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
1304,1957,64,Female,Between 1 and 5 years,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with no dependent children,Regional,50% - I spent about half of my time remote working,50% - About half of my time,40%,40%,30%,No,Yes,10%,Less than 10% of my time,No,,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly Positive,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Very likely,1.5,7,1.5,6,8,0,6,4,6,8,No,,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Somewhat disagree,Yes,Yes,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
1308,1973,48,Female,More than 5 years,Administrative and Support,Community and personal service workers - Health and Welfare Support Workers,More than 200,Couple with no dependent children,Regional,100% - I spent all of my time remote working,60%,60%,60%,60%,No,Yes,60%,60%,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Very likely,0.25,8,2,5.75,8,0,8.75,2,5.25,8,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat worsened,Not a barrier for me,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Yes,Yes,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
1309,1975,46,Male,More than 5 years,Health Care and Social Assistance,Professionals - Health Professionals,Between 20 and 199,Couple with dependent children,Regional,Less than 10% of my time,70%,Less than 10% of my time,70%,70%,Yes,No,,,Unsure,,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,2,7,3,4,8,0,7,4,5,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
1310,1979,42,Female,Between 1 and 5 years,Accommodation and Food,Labourers - Cleaners and Laundry Workers,Between 1 and 4,Couple with no dependent children,Regional,50% - I spent about half of my time remote working,70%,80%,50% - About half of my time,60%,Yes,Yes,80%,80%,Yes,80%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat Positive,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,5,5,5,5,4,4,5,5,5,5,No,,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
1317,1972,49,Male,More than 5 years,Financial and Insurance,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,Couple with dependent children,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Yes,No,,,Unsure,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,6,9,1.5,1.5,6,0.5,9,3.5,3,8,Yes,0.02,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
1318,1966,55,Male,More than 5 years,"Electricity, Gas, Water and Waste",Managers - Specialist Managers,More than 200,Couple with dependent children,Regional,90%,60%,60%,60%,60%,No,Yes,40%,40%,No,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat Positive,Senior leadership,Very likely,Very likely,Very likely,3,11,2,3,5,1,12,3,2,6,No,,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
1319,1962,59,Male,More than 5 years,"Transport, Postal and Warehousing",Managers - Specialist Managers,More than 200,Couple with no dependent children,Regional,90%,80%,90%,80%,60%,Yes,No,,,Yes,60%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Very likely,3.5,9.5,2,2,7,0.5,10.5,2,3,8,No,,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Significantly improved,Stayed about the same,Somewhat improved,Stayed about the same,Not a barrier for me,Significantly improved,Strongly agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
1323,1964,57,Male,More than 5 years,Public Administration and Safety,"Professionals - Legal, Social and Welfare Professionals",More than 200,Couple with no dependent children,Regional,Rarely or never,50% - About half of my time,Rarely or never,50% - About half of my time,50% - About half of my time,No,Yes,Less than 10% of my time,50% - About half of my time,Yes,50% - About half of my time,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither positive nor negative,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,They are about the same,Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,1,9.5,2,2,9.5,0,9.5,2,3,9.5,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
1328,1976,45,Female,Between 1 and 5 years,Arts and Recreation,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,Couple with dependent children,Regional,Rarely or never,50% - About half of my time,Rarely or never,50% - About half of my time,70%,Yes,No,,,Yes,60%,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat Positive,Senior leadership,Somewhat unlikely,Somewhat likely,Somewhat likely,1.5,9,2,4,7.5,0.5,8,2,6,7.5,No,,Not a barrier for me,Stayed about the same,Significantly improved,Somewhat improved,Significantly worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Significantly worsened,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,No,,,,,,,,,,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
1329,1980,41,Male,More than 5 years,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,80%,Yes,Yes,100% - All of my time,100% - All of my time,Yes,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,My direct manger(s),Very likely,Very likely,Very likely,6,8,2,3,5,4,8,4,2,6,Yes,0.45,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
